Residente,Tarefa,Ajuda
P01,Tarefa 1,0
P01,Tarefa 2,1
P01,Tarefa 3,0
P01,Tarefa 4,0
P01,Tarefa 5,0
P01,Tarefa 6,1
P01,Tarefa 7,0
P02,Tarefa 1,1
P02,Tarefa 2,0
P02,Tarefa 3,0
P02,Tarefa 4,0
P02,Tarefa 5,0
P02,Tarefa 6,0
P02,Tarefa 7,0
P03,Tarefa 1,1
P03,Tarefa 2,0
P03,Tarefa 3,0
P03,Tarefa 4,0
P03,Tarefa 5,0
P03,Tarefa 6,1
P03,Tarefa 7,0
P04,Tarefa 1,0
P04,Tarefa 2,0
P04,Tarefa 3,0
P04,Tarefa 4,0
P04,Tarefa 5,0
P04,Tarefa 6,1
P04,Tarefa 7,0
P05,Tarefa 1,0
P05,Tarefa 2,0
P05,Tarefa 3,0
P05,Tarefa 4,0
P05,Tarefa 5,0
P05,Tarefa 6,0
P05,Tarefa 7,0
P06,Tarefa 1,0
P06,Tarefa 2,0
P06,Tarefa 3,0
P06,Tarefa 4,0
P06,Tarefa 5,0
P06,Tarefa 6,0
P06,Tarefa 7,0
P07,Tarefa 1,0
P07,Tarefa 2,0
P07,Tarefa 3,0
P07,Tarefa 4,0
P07,Tarefa 5,0
P07,Tarefa 6,0
P07,Tarefa 7,0
P08,Tarefa 1,0
P08,Tarefa 2,0
P08,Tarefa 3,0
P08,Tarefa 4,0
P08,Tarefa 5,0
P08,Tarefa 6,0
P08,Tarefa 7,0
P09,Tarefa 1,1
P09,Tarefa 2,0
P09,Tarefa 3,0
P09,Tarefa 4,0
P09,Tarefa 5,0
P09,Tarefa 6,0
P09,Tarefa 7,0
P10,Tarefa 1,1
P10,Tarefa 2,1
P10,Tarefa 3,0
P10,Tarefa 4,0
P10,Tarefa 5,0
P10,Tarefa 6,0
P10,Tarefa 7,1
